cat,file,gate,old_colors,new_colors,old_frag,new_frag,old_frag2,new_frag2,old_dark,new_dark,ol_old,ol_new,colout_old,colout_new,de_old,de_new,de_new_adj,de_delta,lum_dev_old,lum_dev_new,verdict,v12_colors,v12_frag,v12_frag2,v12_dark,ol_v12,colout_v12,de_v12,nfeat12,verdict12
pixelart,pixelart_x_102.jpg,0,26,37,568,461,17,25,950,1085,12,0,0,110,6.022,9.388,9.388,3.366,0.1,1.06,better,36,406,25,1084,0,110,9.398,90,better
pixelart,pixelart_x_103.jpg,1,41,49,830,522,5,41,1572,1663,55,0,12,12,10.016,18.804,15.192,8.788,0.14,6.56,better,45,499,41,1663,0,12,18.9,190,better
pixelart,pixelart_x_104.jpg,1,36,47,758,615,36,58,2456,2091,87,0,5,5,6.339,17.372,14.378,11.034,0.41,6.75,better,45,540,56,2090,0,2,17.383,198,better
pixelart,pixelart_x_105.jpg,1,34,54,568,622,12,96,2380,2157,46,0,18,69,7.638,17.18,14.296,9.542,1.29,6.24,better,54,584,95,2154,0,68,17.177,141,better
pixelart,pixelart_x_106.jpg,1,33,32,596,375,5,34,1636,1355,41,0,68,13,7.58,14.746,12.316,7.166,0.7,6.47,better,32,326,34,1355,0,13,14.791,122,better
pixelart,pixelart_x_107.jpg,1,60,67,1219,888,33,34,2333,2098,94,0,7,12,8.251,23.405,19.452,15.154,1.28,9.69,better,67,879,35,2089,0,9,22.858,149,better
pixelart,pixelart_x_108.jpg,1,34,49,1225,1752,43,76,1701,1624,23,0,2,9,9.977,21.14,19.674,11.163,-0.01,4.33,better,48,1693,76,1624,0,7,21.255,352,better
pixelart,pixelart_x_109.jpg,1,59,46,1130,570,73,102,2741,2445,379,0,21,3,10.04,23.237,22.646,13.198,3.46,7.66,better,46,558,102,2445,0,4,23.3,93,better
pixelart,pixelart_x_110.jpg,1,58,52,1125,633,74,98,2745,2423,291,0,29,5,10.063,23.161,22.129,13.098,3.54,8.55,better,53,617,98,2423,0,6,23.168,87,better
pixelart,pixelart_x_111.jpg,0,23,29,525,395,5,17,999,1215,57,0,19,63,5.971,11.224,11.224,5.253,0.99,0.6,better,28,332,17,1212,0,62,11.201,185,better
pixelart,pixelart_x_112.jpg,0,26,31,361,365,11,22,1218,1467,66,0,9,140,5.36,10.208,10.208,4.848,0.17,0.55,better,31,337,22,1467,0,138,10.341,202,better
pixelart,pixelart_x_113.jpg,0,26,35,619,370,13,50,1147,1329,34,0,5,771,7.471,14.194,14.194,6.723,-0.5,2.15,better,34,340,50,1329,0,769,14.172,94,better
pixelart,pixelart_x_114.jpg,1,32,39,521,572,14,40,1517,1650,52,0,1,147,5.712,11.73,11.196,6.018,0.36,2.56,better,39,500,40,1650,0,144,11.832,196,better
pixelart,pixelart_x_115.jpg,0,68,57,1308,832,7,45,564,1027,237,0,0,3,5.786,16.766,16.766,10.98,1.13,-0.82,better,55,824,45,1027,0,0,16.828,314,better
pixelart,pixelart_x_116.jpg,1,33,36,540,487,34,12,1837,1041,4,0,169,44,10.969,17.706,13.511,6.737,1.6,9.35,better,36,463,12,1040,0,44,17.703,87,better
pixelart,pixelart_x_117.jpg,0,25,14,51,19,0,0,1075,1236,136,0,97,32,6.765,9.239,9.239,2.475,2.39,1.0,better,13,8,0,1236,0,32,9.357,131,better
pixelart,pixelart_x_121.jpg,1,40,41,560,521,5,9,1628,1555,22,0,5,154,9.68,20.835,16.533,11.155,0.26,9.03,better,40,499,9,1555,0,153,20.878,79,better
pixelart,pixelart_x_122.jpg,1,34,45,443,267,15,12,3054,2975,25,0,0,3,6.995,10.125,9.213,3.129,5.42,7.07,better,47,253,12,2975,0,4,10.149,49,better
pixelart,pixelart_x_123.jpg,0,11,4,6,1,0,0,32,47,71,0,97,300,2.028,2.625,2.625,0.598,-0.37,0.67,better,4,1,0,47,0,300,2.625,2,better
pixelart,pixelart_x_125.jpg,0,9,2,168,0,0,0,1321,1458,297,0,0,0,10.418,13.746,13.746,3.328,4.44,7.25,better,2,0,0,1458,0,0,13.746,0,better
pixelart,pixelart_x_128.jpg,1,19,21,68,57,5,4,3040,2087,1,0,0,27,5.148,11.687,6.749,6.539,0.33,10.82,better,19,51,4,2087,0,27,11.688,8,better
pixelart,pixelart_x_131.jpg,1,30,34,193,200,16,13,328,263,4,0,0,0,7.821,9.456,5.266,1.635,1.87,2.28,better,33,162,13,263,0,0,9.451,52,better
pixelart,pixelart_x_132.jpg,1,44,48,507,429,4,4,1653,1646,15,0,1,3,8.689,12.085,11.291,3.396,2.0,3.43,better,47,384,4,1646,0,2,12.077,73,better
pixelart,pixelart_x_133.jpg,1,23,44,162,277,3,5,2602,1855,23,0,22,216,6.599,14.074,9.365,7.475,0.82,11.26,better,41,224,5,1855,0,216,14.074,57,better
pixelart,pixelart_x_134.jpg,1,29,35,598,479,6,4,1055,1022,11,0,7,19,10.893,14.204,15.817,3.311,2.18,4.43,better,33,454,4,1022,0,19,14.209,26,better
pixelart,pixelart_x_135.jpg,1,32,52,907,1140,48,23,2252,1603,12,0,0,4,8.5,23.108,15.276,14.608,0.48,12.0,better,50,1073,23,1603,0,2,23.116,131,better
pixelart,pixelart_x_136.jpg,1,24,29,319,399,3,2,2130,1162,3,0,630,417,13.469,26.137,16.315,12.668,-0.03,16.27,better,29,384,2,1162,0,417,26.133,15,better
pixelart,pixelart_x_137.jpg,1,45,53,964,1026,21,24,1389,1218,9,0,17,34,10.982,18.675,16.667,7.694,-1.0,3.92,better,52,941,24,1218,0,33,18.706,117,better
pixelart,pixelart_x_138.jpg,1,24,26,107,104,3,16,3285,3255,3,0,0,5,6.096,8.22,7.391,2.125,4.27,5.34,equal,26,116,16,3255,0,5,8.252,44,equal
pixelart,pixelart_x_139.jpg,1,38,55,510,420,22,15,2103,1019,40,0,8,8,6.193,23.161,13.726,16.968,-0.61,13.26,better,55,374,15,1019,0,7,23.133,105,better
pixelart,pixelart_x_140.jpg,1,40,54,468,527,31,50,2233,1980,28,0,14,34,8.643,21.334,15.051,12.692,-1.84,9.52,better,53,482,50,1980,0,33,21.406,177,better
pixelart,pixelart_x_141.jpg,0,35,41,512,429,13,10,1382,1246,28,0,43,148,13.133,16.822,16.822,3.689,1.41,4.31,better,41,414,10,1246,0,147,16.821,34,better
pixelart,pixelart_x_142.jpg,0,6,7,129,83,0,0,0,18,1,0,0,0,3.416,5.225,5.225,1.809,1.51,4.2,better,8,77,0,18,0,0,5.226,24,better
pixelart,pixelart_x_143.jpg,1,37,46,435,277,0,1,1291,926,21,0,0,65,11.202,18.067,16.038,6.865,-1.25,5.72,better,46,255,1,926,0,65,18.079,26,better
pixelart,pixelart_x_144.jpg,1,47,70,551,522,10,14,2424,1934,37,0,28,530,8.417,19.793,14.759,11.376,0.24,10.83,better,70,489,14,1934,0,529,19.793,67,better
