cat,file,gate,old_colors,new_colors,old_comp,new_comp,old_frag,new_frag,old_dark,new_dark,agree_pct
random,rand_013.jpg,0,9,14,79,155,51,118,0,1,47.2
random,rand_014.jpg,1,21,33,278,465,212,373,1653,1678,16.4
random,rand_015.jpg,0,28,41,1131,1379,1100,1327,350,449,39.3
random,rand_016.jpg,1,9,15,200,268,168,237,3348,3279,20.7
random,rand_017.jpg,1,25,27,593,418,622,383,2366,2313,31.0
random,rand_018.jpg,0,10,8,464,310,380,238,473,615,55.0
random,rand_019.jpg,0,14,24,349,416,255,372,807,1128,35.5
random,rand_020.jpg,0,11,13,289,345,216,290,1193,1160,60.5
random,rand_021.jpg,1,43,51,127,165,89,115,825,710,58.0
random,rand_022.jpg,0,24,34,191,201,153,134,788,806,50.0
random,rand_023.jpg,0,6,6,184,157,174,135,2927,3018,78.4
random,rand_024.jpg,0,14,24,360,523,312,487,1037,1105,61.8
random,rand_025.jpg,1,22,26,489,271,463,267,2151,2171,46.2
random,rand_026.jpg,0,9,8,936,558,836,472,1759,2281,59.1
random,rand_027.jpg,0,19,20,321,334,268,294,1190,1161,48.7
random,rand_028.jpg,1,18,49,413,615,378,539,2074,1740,16.0
random,rand_029.jpg,1,12,23,123,192,110,153,1630,1535,17.1
random,rand_030.jpg,1,12,24,98,244,87,190,3113,2496,8.5
random,rand_031.jpg,0,28,32,749,941,682,849,934,964,39.8
random,rand_032.jpg,0,15,22,699,586,647,532,1191,1338,51.5
random,rand_033.jpg,1,15,22,377,542,341,512,2735,2608,49.2
random,rand_034.jpg,0,10,17,134,354,118,296,945,985,35.5
random,rand_035.jpg,1,28,37,409,398,362,355,1477,1341,24.2
random,rand_036.jpg,0,20,29,698,863,627,800,669,894,42.8
random,rand_038.jpg,1,17,19,173,229,122,193,2022,1973,57.6
random,rand_039.jpg,1,29,35,868,634,824,545,1571,1520,42.5
random,rand_040.jpg,1,33,56,1006,1045,962,981,2261,2057,16.2
random,rand_041.jpg,1,30,40,305,391,267,321,2838,2467,22.6
random,rand_042.jpg,0,23,28,346,477,300,433,1199,1128,43.3
random,rand_043.jpg,1,30,43,1384,1435,1371,1402,2336,2221,19.4
random,rand_044.jpg,1,23,41,480,479,453,410,2857,2640,33.6
random,rand_047.jpg,0,12,18,267,222,237,173,681,749,33.8
random,rand_048.jpg,1,50,43,596,410,633,377,2720,2731,67.6
random,rand_049.jpg,0,7,6,413,248,375,215,1126,1400,67.7
random,rand_050.jpg,0,11,20,171,193,133,146,890,953,62.3
random,rand_051.jpg,0,19,33,196,246,144,195,517,540,57.6
random,rand_052.jpg,1,26,31,454,539,395,482,670,532,50.0
random,rand_053.jpg,1,22,33,509,583,432,518,2003,1106,13.1
